,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,MathScore,ReadingScore,WritingScore,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours
0,female,group B,bachelor's degree,standard,none,72,72,74,married,regularly,yes,3,school_bus,< 5
1,female,group C,some college,standard,completed,69,90,88,married,sometimes,yes,0,,05-Oct
2,female,group B,master's degree,standard,none,90,95,93,single,sometimes,yes,4,school_bus,< 5
3,male,group A,associate's degree,free/reduced,none,47,57,44,married,never,no,1,,05-Oct
4,male,group C,some college,standard,none,76,78,75,married,sometimes,yes,0,school_bus,05-Oct
5,female,group B,associate's degree,standard,none,71,83,78,married,regularly,yes,1,school_bus,05-Oct
6,female,group B,some college,standard,completed,88,95,92,widowed,never,no,1,private,05-Oct
7,male,group B,some college,free/reduced,none,40,43,39,married,sometimes,yes,1,private,> 10
8,male,group D,high school,free/reduced,completed,64,64,67,single,sometimes,no,3,private,> 10
9,female,group B,high school,free/reduced,none,38,60,50,married,regularly,yes,,private,< 5
10,male,group C,associate's degree,standard,none,58,54,52,,sometimes,yes,1,private,05-Oct
11,male,group D,associate's degree,standard,none,40,52,43,divorced,sometimes,yes,1,school_bus,05-Oct
12,female,group B,high school,standard,none,65,81,73,married,regularly,no,1,private,05-Oct
13,male,group A,some college,standard,completed,78,72,70,single,sometimes,yes,1,private,> 10
14,female,group A,master's degree,standard,none,50,53,58,divorced,sometimes,yes,2,private,< 5
15,female,group C,some high school,standard,none,69,75,78,married,sometimes,yes,0,private,
16,male,group C,high school,standard,none,88,89,86,married,sometimes,yes,0,school_bus,05-Oct
17,female,group B,some high school,free/reduced,none,18,32,28,divorced,sometimes,yes,1,school_bus,05-Oct
18,male,group C,master's degree,free/reduced,completed,46,42,46,single,sometimes,no,1,private,05-Oct
19,female,group C,associate's degree,free/reduced,none,54,58,61,married,never,yes,3,private,< 5
20,male,group D,high school,standard,none,66,69,63,married,sometimes,yes,5,school_bus,05-Oct
21,female,group B,some college,free/reduced,completed,65,75,70,married,sometimes,no,2,school_bus,05-Oct
22,male,group D,some college,standard,none,44,54,53,married,never,yes,5,,05-Oct
23,female,group C,some high school,standard,none,69,73,73,divorced,never,no,3,,05-Oct
24,male,group D,bachelor's degree,free/reduced,completed,74,71,80,married,sometimes,yes,2,school_bus,05-Oct
25,male,group A,master's degree,free/reduced,none,73,74,72,married,regularly,yes,1,school_bus,05-Oct
26,male,group B,some college,standard,none,69,54,55,married,sometimes,yes,5,school_bus,< 5
27,female,group C,bachelor's degree,standard,none,67,69,75,married,sometimes,yes,4,school_bus,> 10
28,male,group C,high school,standard,none,70,70,65,married,sometimes,no,1,private,05-Oct
29,female,group D,master's degree,standard,none,62,70,75,single,sometimes,yes,0,private,< 5
30,female,group D,some college,standard,none,69,74,74,single,sometimes,yes,5,,05-Oct
31,female,group B,some college,standard,none,63,65,61,divorced,sometimes,yes,1,school_bus,05-Oct
32,female,group E,master's degree,free/reduced,none,56,72,65,married,sometimes,no,2,private,05-Oct
33,male,group D,some college,standard,none,40,42,38,divorced,sometimes,yes,0,school_bus,
34,male,group E,some college,standard,none,97,87,82,single,sometimes,no,,school_bus,05-Oct
35,male,group E,associate's degree,standard,completed,81,81,79,married,regularly,no,2,private,05-Oct
36,female,group D,associate's degree,standard,none,74,81,83,married,regularly,yes,1,private,05-Oct
37,female,group D,some high school,free/reduced,none,50,64,59,married,regularly,no,1,school_bus,05-Oct
38,female,group D,associate's degree,free/reduced,completed,75,90,88,single,regularly,yes,5,school_bus,05-Oct
39,male,group B,associate's degree,free/reduced,none,57,56,57,married,never,yes,0,school_bus,05-Oct
40,male,group C,associate's degree,free/reduced,none,55,61,54,divorced,regularly,no,1,,05-Oct
41,female,group C,associate's degree,standard,none,58,73,68,married,regularly,yes,3,school_bus,05-Oct
42,female,group B,associate's degree,standard,none,53,58,65,married,sometimes,yes,5,school_bus,< 5
43,male,group B,some college,free/reduced,completed,59,65,66,single,sometimes,yes,3,school_bus,< 5
44,female,group E,associate's degree,free/reduced,none,50,56,54,married,regularly,yes,,private,05-Oct
45,male,group B,associate's degree,standard,none,65,54,57,married,sometimes,,3,,05-Oct
46,female,group A,associate's degree,standard,completed,55,65,62,married,,no,3,school_bus,> 10
47,female,group C,high school,standard,none,66,71,76,married,regularly,no,2,private,< 5
48,female,group D,associate's degree,free/reduced,completed,57,74,76,divorced,regularly,yes,3,school_bus,> 10
49,male,group C,high school,standard,completed,82,84,82,single,sometimes,yes,2,school_bus,05-Oct
50,male,group E,some college,standard,none,53,55,48,married,regularly,yes,,private,> 10
51,male,group E,associate's degree,free/reduced,completed,77,69,68,divorced,sometimes,yes,2,private,05-Oct
52,male,group C,some college,standard,none,53,44,42,married,sometimes,yes,3,school_bus,> 10
53,male,group D,high school,standard,none,88,78,75,single,sometimes,no,2,private,05-Oct
54,female,group C,some high school,free/reduced,completed,71,84,87,married,regularly,no,1,private,> 10
55,female,group C,high school,free/reduced,none,33,41,43,single,regularly,yes,3,school_bus,> 10
56,female,group E,associate's degree,standard,completed,82,85,86,married,sometimes,yes,,school_bus,05-Oct
57,male,group D,associate's degree,standard,none,52,55,49,married,sometimes,yes,5,private,05-Oct
58,male,group D,some college,standard,completed,58,59,58,married,sometimes,yes,0,school_bus,05-Oct
59,female,group C,some high school,free/reduced,none,0,17,10,married,never,yes,1,private,< 5
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,married,sometimes,yes,4,school_bus,05-Oct
61,male,group A,some high school,free/reduced,none,39,39,34,married,regularly,no,3,school_bus,05-Oct
62,male,group A,associate's degree,free/reduced,none,62,61,55,divorced,regularly,no,3,school_bus,
63,female,group C,associate's degree,standard,none,69,80,71,single,sometimes,yes,3,school_bus,05-Oct
64,female,group D,some high school,standard,none,59,58,59,divorced,sometimes,yes,3,private,> 10
65,male,group B,some high school,standard,none,67,64,61,single,regularly,yes,1,private,05-Oct
66,male,group D,some high school,free/reduced,none,45,37,37,divorced,never,yes,3,school_bus,05-Oct
67,female,group C,some college,standard,none,60,72,74,married,sometimes,yes,2,private,< 5
68,male,group B,associate's degree,free/reduced,none,61,58,56,divorced,sometimes,no,,school_bus,05-Oct
69,female,group C,associate's degree,standard,none,39,64,57,,sometimes,no,5,school_bus,05-Oct
70,female,group D,some college,free/reduced,completed,58,63,73,,regularly,yes,,,05-Oct
71,male,group D,some college,standard,completed,63,55,63,divorced,sometimes,yes,2,school_bus,> 10
72,female,group A,associate's degree,free/reduced,none,41,51,48,divorced,never,yes,1,school_bus,05-Oct
73,male,group C,some high school,free/reduced,none,61,57,56,married,regularly,yes,0,private,> 10
74,male,group C,some high school,standard,none,49,49,41,married,sometimes,yes,0,private,
75,male,group B,associate's degree,free/reduced,none,44,41,38,married,sometimes,no,,school_bus,05-Oct
76,male,group E,some high school,standard,none,30,26,22,married,regularly,yes,0,private,05-Oct
77,male,group A,bachelor's degree,standard,completed,80,78,81,married,never,,3,private,05-Oct
